DATE,CAR IDENTIFICATION,TYPE OF SERVICE,AMOUNT,CODE,STATUS,BALANCE,RESPONSIBILITY,,,,,,,,,,,,,,,,,,,
9.12.2024,KAE 590C Benz,BODY WASH,300,SL94U7ASYU,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
9.12.2024,KDC 966E Ford,BODY WASH,400,-,OFFICE,,ANTHONY,,,,,,,,,,,,,,,,,,,
9.12.2024,KAU 859M ,BODY WASH,300,SLA7VYSWEB,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
9.12.2024,KCJ 107P  Nissan,BODY WASH,300,SLA7VYSWEB,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
9.12.2024,KCN 213Y,BODY WASH,300,SL94TYW2WK,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
9.12.2024,KCR 340X Colt,BODY WASH,300,SLA7VYSWEB,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
10.12.2024,KBJ 632J Benz,NORMAL WASH,300,SLB91L3QOJ,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
10.12.2024,KDJ 456A Golf,NORMAL WASH,300,SLA9XRUFQN,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
10.12.2024,KBP 139L Honda,NORMAL WASH,300,-,OFFICE,,MUTUA,,,,,,,,,,,,,,,,,,,
10.12.2024,KCA 781C Benz,NORMAL WASH,300,SLA9XU3OWR,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
10.12.2024,KCC 789A Toureg,NORMAL WASH,300,SLB91L3QOJ,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
10.12.2024,KCU 308S Demio,NORMAL WASH,300,SLB91L3QOJ,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
10.12.2024,KBR 157V Forester,NORMAL WASH,300,SLB91L3QOJ,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
10.12.2024,KBV 528V Benz,NORMAL WASH,300,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,,,,
10.12.2024,KCV 182H BMW,NORMAL WASH,300,SLA0YHLZ26,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
10.12.2024,KDR 414U Swift,BODY WASH,200,-,UNPAID,,MUTUA,,,,,,,,,,,,,,,,,,,
11.12.2024,KBR 996N Polo ,NORMAL WASH,300,SLB61KK31Q,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
11.12.2024,KBT 139R Landcruiser,NORMAL WASH,300,SLD4DG5V54,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
11.12.2024,KDN 304C CX-5 AWD,NORMAL WASH,300,SLC567CVX1,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
11.12.2024,KDC 082B BMW,NORMAL WASH,300,SLB945BL3P,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
11.12.2024,KCG 369B Harrier,NORMAL WASH,300,SLB63MA0JC,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
11.12.2024,KAU 437N,NORMAL WASH,300,SLC567CVX1,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
11.12.2024,KAY 700N BMW,RIM WASH,2000,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,,,,
12.12.2024,KD 0889 Noah,NORMAL WASH,300,SLC76J3QXF,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
12.12.2024,KDA 781S Allion,NORMAL WASH,300,SLC67DACRW,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
12.12.2024,KDJ 274X Isuzu,NORMAL WASH,300,SLC28CCZZK,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
12.12.2024,KCK 110U Golf,NORMAL WASH,300,SLC67ZUKL8,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
12.12.2024,KDM 778P,NORMAL WASH,300,SLC48C6EYA,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
12.12.2024,KBW 607G Mark X,NORMAL WASH,300,SLC37QOLI7,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
12.12.2024,KDP 775G Harrier,NORMAL WASH,300,,UNPAID,,MUTUA,,,,,,,,,,,,,,,,,,,
12.12.2024,KDC 008V Subaru Legacy,NORMAL WASH,300,SLC87KT4YO,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
13.12.2024,KCU 784A Discovery,NORMAL WASH,300,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,,,,
13.12.2024,KCT 046L Galant Fortis,NORMAL WASH,300,SLD5B7C89X,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
13.12.2024,KAY 700N BMW,NORMAL WASH,300,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,,,,
13.12.2024,KDH 544M BMW,WASH & VACUUM,600,SLB74JQTVD,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
13.12.2024,KCW 900T Landcruiser,NORMAL WASH,300,SLD4DG5V54,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
13.12.2024,KDJ 456A,NORMAL WASH,300,,,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KDM 778P Harrier,NORMAL WASH,300,SLE1ETHOY3 ,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KCP 684T,NORMAL WASH,300,SLE8F7W49Q,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KCR 110U Golf,NORMAL WASH,300,SLE6FJK250,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KDQ 604R,WASH & VACUUM,600,-,SERVICE INCLUSIVE,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KAK 542Q Toyota,BODY WASH,300,SLH3RUUBVJ,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KCD 696C Benz,NORMAL WASH,300,SLE1G6SHBX,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KDD 614Z Golf,NORMAL WASH,300,SLE4GQVYJ8,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KCV 989S Benz,NORMAL WASH,300,INVOICED,,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KCZ 572B ,NORMAL WASH,300,SLE2GQ0V0O,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KAQ 903T ,NORMAL WASH,300,SLE2GZFU42,PAID,,MUTUA,,,,,,,,,,,,,,,,,,,
14.12.2024,KDJ 274X Isuzu,NORMAL WASH,300,SLE9GQF9MV,PAID,,,,,,,,,,,,,,,,,,,,,
16.12.2024,KCG 772X,NORMAL WASH,300,-,UNPAID,,,,,,,,,,,,,,,,,,,,,
16.12.2024,KDH 054M(Lorry),NORMAL WASH,700,-,UNPAID,,,,,,,,,,,,,,,,,,,,,
16.12.2024,KAY 700N BMW,NORMAL WASH,300,-,SERVICE INCLUSIVE,,,,,,,,,,,,,,,,,,,,,
16.12.2024,KCU 784A Discovery,NORMAL WASH,300,-,SERVICE INCLUSIVE,,,,,,,,,,,,,,,,,,,,,
16.12.2024,KCA 839N Toyota Corolla,NORMAL WASH,300,SLJ4ZYSO8A,PAID,,,,,,,,,,,,,,,,,,,,,
16.12.2024,KDJ 977L  Mazda Demio,WASH & VACUUM,600,-,UNPAID,,,,,,,,,,,,,,,,,,,,,
16.12.2024,KDC 966E Ford,NORMAL WASH,300,-,SERVICE INCLUSIVE,,,,,,,,,,,,,,,,,,,,,
17.12.2024,KDQ 350Q Mercedes,NORMAL WASH,300,SLHIRRGNUX,PAID,,,,,,,,,,,,,,,,,,,,,
17.12.2024,KCN 491F,NORMAL WASH,300,SLH9S99ZD5,PAID,,,,,,,,,,,,,,,,,,,,,
17.12.2024,KAY 700N BMW,NORMAL WASH,300,-,SERVICE INCLUSIVE,,,,,,,,,,,,,,,,,,,,,
17.12.2024,KDP 574D Subaru Forester,NORMAL WASH,300,SLH3T08XKX,PAID,,,,,,,,,,,,,,,,,,,,,
17.12.2024,KDQ 379H Mazda Axela,WASH & VACUUM,600,SLH5SZZ2CD,PAID,,,,,,,,,,,,,,,,,,,,,
17.12.2024,Carpet,NORMAL WASH,1000,SLJ4ZYSO8A,PAID,,,,,,,,,,,,,,,,,,,,,
17.12.2024,KCW 996F Honda,NORMAL WASH,300,-,OFFICE,,,,,,,,,,,,,,,,,,,,,
17.12.2024,KDR 778T Audi,NORMAL WASH,300,SLH5SZZ2CD,PAID,,,,,,,,,,,,,,,,,,,,,
17.12.2024,KDC 966E Ford Ranger,NORMAL WASH,400,-,SERVICE INCLUSIVE,,,,,,,,,,,,,,,,,,,,,
17.12.2024,KBW 607G,NORMAL WASH,300,-,SERVICE INCLUSIVE,,,,,,,,,,,,,,,,,,,,,
18.12.2024,KBP 139L Honda,NORMAL WASH,300,-,OFFICE,,,,,,,,,,,,,,,,,,,,,
18.12.2024,KDR 298Y Audi,NORMAL WASH,300,-,SERVICE INCLUSIVE,,,,,,,,,,,,,,,,,,,,,
18.12.2024,KCS 388F,WASH & ENGINE,600,SLJ4ZYSO8A,PAID,,,,,,,,,,,,,,,,,,,,,
18.12.2024,KCA 781C Benz,NORMAL WASH,300,SLI4X85NVO,PAID,,,,,,,,,,,,,,,,,,,,,
18.12.2024,KCA 839N Toyota Corolla,NORMAL WASH,300,-,UNPAID,,,,,,,,,,,,,,,,,,,,,
18.12.2024,KCU 784A Discovery,NORMAL WASH,300,SLI4X85NVO,PAID,,,,,,,,,,,,,,,,,,,,,
19.12.2024,KAU 437N Subaru Impreza,NORMAL WASH,300,-,UNPAID,,,,,,,,,,,,,,,,,,,,,
19.12.2024,KCZ 942T Noah,WASH & VACUUM,600,SLJ92F6JON,PAID,,,,,,,,,,,,,,,,,,,,,
19.12.2024,KCB 087X ISIS,NORMAL WASH,300,USED,PAID,,,,,,,,,,,,,,,,,,,,,
19.12.2024,KDG 312E Vitz,WASH & VACUUM,600,SLJ62S194C,PAID,,,,,,,,,,,,,,,,,,,,,
20.12.2024,KDK 570C Lexus,NORMAL WASH,300,SLK96UO2WF,PAID,,,,,,,,,,,,,,,,,,,,,
20.12.2024,KDB 286J Landcruiser,WASH & VACUUM,600,SLK36W3VV5,PAID,,,,,,,,,,,,,,,,,,,,,
20.12.2024,KCL 680Y Forester,NORMAL WASH,300,SLK86RV7Y8,PAID,,,,,,,,,,,,,,,,,,,,,
20.12.2024,KCD 385F Nissan Navada,NORMAL WASH,300,SLK874K4TO,PAID,,,,,,,,,,,,,,,,,,,,,
20.12.2024,KBA 128C Mercedes,NORMAL WASH,300,,,,,,,,,,,,,,,,,,,,,,,
20.12.2024,KDN 093D Isuzu,NORMAL WASH,300,,,,,,,,,,,,,,,,,,,,,,,
20.12.2024,KCR 110U Golf,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
